XH,Pts_x,Pct_x,Avg1_x,Avg2_x,Tot_x,TO_x,Pts_y,Pct_y,Avg1_y,Avg2_y,Tot_y,TO_y,classifyRes,markRes,recomRes,RankScore,Abs,Rel,countRecom,tsne,LDA
Purdue,0.5750915750915752,0.4354066985645932,0.5142857142857142,0.5517241379310343,0.5062500000000001,0.375,0.3423180592991914,0.2837209302325583,0.6071428571428571,0.3571428571428573,0.18987341772151897,0.6190476190476192,2,-1,-1,0.400563540752316,78,,0,"[0.24372656885527358, 0.554419098345445]","[0.6676028248105863, 0.45740263695044137]"
Miami (OH),0.5787545787545788,0.6698564593301438,0.6571428571428571,0.689655172413793,0.5625,0.4583333333333333,0.30188679245283023,0.03255813953488353,0.3749999999999999,0.5000000000000001,0.39240506329113917,0.4761904761904763,2,-1,1,0.4580035504083627,68,,1,"[0.23792601077587539, 0.6924126337579168]","[0.5879663904530833, 0.5050711555903704]"
Fresno State,0.6007326007326007,0.6028708133971291,0.5142857142857142,0.7931034482758619,0.35624999999999996,0.29166666666666663,0.41509433962264153,0.40930232558139534,0.5714285714285714,0.4285714285714287,0.43037974683544306,0.5714285714285715,2,-1,-1,0.5075333328957716,53,,0,"[0.3367300937090617, 0.7048994124807878]","[0.5055420717164901, 0.6290122532556027]"
Indiana,0.6153846153846153,0.6650717703349285,0.6000000000000002,0.6206896551724137,0.5062500000000001,0.29166666666666663,0.37735849056603776,0.2837209302325583,0.8214285714285714,0.5476190476190478,0.28481012658227844,0.4285714285714287,2,-1,-1,0.5173185105271236,49,,0,"[0.24598368664231596, 0.7685624804238246]","[0.5277248728960652, 0.4833473481133191]"
Wyoming,0.6153846153846153,0.8660287081339714,0.6857142857142858,0.8620689655172413,0.42500000000000004,0.25,0.2695417789757413,0.40930232558139534,0.49999999999999994,0.5238095238095238,0.2594936708860758,0.38095238095238104,2,-1,1,0.5181231894619943,48,,1,"[0.3145726957568989, 0.8031553140191319]","[0.47523315734197447, 0.6250946304490667]"
Army,0.6190476190476191,0.9377990430622011,0.7142857142857143,0.8620689655172413,0.4750000000000001,0.25,0.37196765498652284,0.0,0.7321428571428572,0.5238095238095238,0.24050632911392408,0.19047619047619058,2,-1,-1,0.4959508925208126,56,,0,"[0.20534796135548614, 0.8124417225554177]","[0.5188743161838929, 0.49274178331448565]"
Massachusetts,0.6227106227106228,0.6315789473684211,0.5428571428571429,0.5862068965517241,0.575,0.29166666666666663,0.43665768194070087,0.33023255813953506,0.3749999999999999,0.5476190476190478,0.4999999999999999,0.5714285714285715,2,-1,-1,0.5119346573925423,52,,0,"[0.32681700727202945, 0.6688064421542481]","[0.4972235461568454, 0.6002530023749458]"
Kansas,0.6336996336996337,0.5119617224880383,0.742857142857143,0.7931034482758619,0.48124999999999996,0.4583333333333333,0.18059299191374664,0.3116279069767441,0.3214285714285714,0.2857142857142857,0.13291139240506314,0.38095238095238104,2,-1,-1,0.3796891829088384,83,,0,"[0.20702391837543996, 0.6629892789991775]","[0.6966756714651019, 0.4378511150781309]"
Vanderbilt,0.6336996336996337,0.688995215311005,0.4571428571428573,0.5862068965517241,0.48124999999999996,0.16666666666666669,0.16442048517520214,0.1302325581395348,0.3749999999999999,0.30952380952380965,0.11392405063291143,0.8095238095238096,2,-1,-1,0.3255585535871128,97,,0,"[0.1301216945394317, 0.599459761781226]","[0.7340677668754734, 0.7085871690552521]"
Bowling Green State,0.6410256410256411,0.5885167464114833,0.6285714285714287,0.689655172413793,0.7437500000000001,0.7083333333333333,0.5094339622641508,0.48372093023255824,0.5535714285714286,0.5000000000000001,0.4999999999999999,0.4285714285714287,1,1,1,0.6761405318700806,13,,1,"[0.5422834956173875, 0.7201718110047143]","[0.3556254363786696, 0.16429393273044543]"
Illinois,0.6593406593406594,0.4832535885167463,0.6285714285714287,0.689655172413793,0.51875,0.3333333333333333,0.398921832884097,0.6279069767441863,0.4285714285714286,0.4761904761904764,0.3037974683544304,0.4761904761904763,2,-1,1,0.5142379707313719,51,,1,"[0.40975796927060865, 0.7087258685889001]","[0.5235503432805635, 0.5490697405097305]"
Florida Atlantic,0.673992673992674,0.5358851674641149,0.7714285714285715,0.7586206896551724,0.5375000000000001,0.25,0.3477088948787062,0.40930232558139534,0.5535714285714286,0.4761904761904764,0.2531645569620253,0.38095238095238104,2,-1,-1,0.5012666411947938,55,,0,"[0.3472735525197144, 0.774176779201782]","[0.5308438734428255, 0.540261831954939]"
Southern Mississippi,0.7106227106227107,0.7607655502392346,0.742857142857143,0.8275862068965517,0.5687500000000001,0.25,0.21293800539083557,0.46046511627906983,0.3214285714285714,0.40476190476190477,0.4113924050632911,0.7142857142857145,0,-1,-1,0.5757808591945031,33,,0,"[0.3755706696233191, 0.9240255399629825]","[0.4002718589175602, 0.6408870560399831]"
New Mexico,0.728937728937729,0.6028708133971291,0.8571428571428571,0.9655172413793102,0.7125000000000001,0.375,0.4474393530997305,0.15813953488372093,0.9107142857142857,0.7380952380952382,0.17088607594936703,0.38095238095238104,0,-1,-1,0.6885804720934348,11,,0,"[0.2289939507238011, 0.8493295521179028]","[0.4011521548753681, 0.5362034042017333]"
Troy,0.7399267399267401,0.6555023923444977,0.8285714285714286,0.8275862068965517,0.5687500000000001,0.3333333333333333,0.28840970350404316,0.8883720930232561,0.5357142857142857,0.45238095238095244,0.2531645569620253,0.23809523809523814,0,-1,-1,0.6139210840125356,23,,0,"[0.45539653351806614, 0.7834530192892264]","[0.389337355387455, 0.3813610816217084]"
Idaho,0.7802197802197802,0.7368421052631581,0.7999999999999999,1.0,0.38749999999999996,0.3333333333333333,0.3746630727762803,0.4790697674418605,0.39285714285714285,0.4285714285714287,0.5759493670886074,0.8571428571428573,0,-1,1,0.7052623318920166,9,,1,"[0.43291112639637935, 0.9430802650561393]","[0.29664350753842833, 0.8044747679183248]"
UNLV,0.8241758241758242,0.47368421052631593,0.7999999999999999,0.8965517241379308,0.625,0.25,0.2911051212938005,0.2883720930232557,0.41071428571428564,0.4285714285714287,0.39240506329113917,0.6190476190476192,0,-1,-1,0.5610962219216933,37,,0,"[0.3669592182427664, 0.8831073654249375]","[0.5117394532483418, 0.6717923083021942]"
